school_id,pupil_id,grade,attendance_records,present_records
201569,5024,Grade 5,41,41
32940,5026,Grade 3,31,22
447445,5027,Grade 5,39,38
607904,5028,Grade 4,71,63
609982,5030,Grade 3,106,96
963352,5031,Grade 5,67,18
259688,5034,Grade 3,88,57
108210,5035,Grade 5,89,76
73360,5036,Grade 3,96,79
35175,5037,Grade 2,97,85
30690,5038,Grade 4,85,42
30690,5041,Grade 4,85,36
20972,5042,Grade 3,86,84
491645,5043,Grade 5,97,85
25434,5045,Grade 1,100,60
25434,5046,Grade 3,86,67
10904,5049,Grade 5,46,46
501872,5051,Grade 3,69,51
416,5052,Grade 1,85,77
14475,5056,Grade 1,80,51
223941,5057,Grade 3,74,51
201569,5058,Grade 3,101,80
314160,5060,Grade 1,100,56
356775,5063,Grade 3,81,73
73360,5065,Grade 3,96,70
9342,5066,Grade 1,100,66
7956,5067,Grade 2,95,53
297076,5068,Grade 1,68,51
759451,5070,Grade 1,38,35
30690,5071,Grade 4,85,52
10904,5074,Grade 3,100,87
792,5075,Grade 2,96,87
447445,5078,Grade 4,86,73
118338,5084,Grade 1,86,79
7956,5085,Grade 4,69,24
175100,5090,Grade 4,82,64
304425,5093,Grade 2,95,78
581940,5095,Grade 3,105,89
223941,5096,Grade 3,74,46
36848,5097,Grade 5,100,56
9342,5098,Grade 4,91,79
49404,5101,Grade 4,91,56
329344,5104,Grade 2,49,44
401898,5107,Grade 3,86,77
30690,5108,Grade 1,77,51
155343,5110,Grade 3,94,73
83388,5111,Grade 2,66,60
501872,5112,Grade 4,41,31
609982,5114,Grade 3,28,17
239870,5115,Grade 3,98,71
423500,5118,Grade 1,96,83
28860,5123,Grade 4,62,59
329344,5125,Grade 2,49,41
83388,5126,Grade 2,66,64
196896,5127,Grade 3,94,64
49404,5128,Grade 4,64,53
7956,5129,Grade 4,69,46
112034,5130,Grade 4,46,0
123695,5131,Grade 4,29,23
223941,5132,Grade 3,74,63
363280,5133,Grade 1,80,38
304425,5136,Grade 1,90,63
416,5137,Grade 3,28,1
363280,5138,Grade 3,95,75
118338,5139,Grade 4,98,47
20972,5140,Grade 4,48,19
230373,5141,Grade 3,81,64
304425,5143,Grade 1,90,76
34092,5148,Grade 2,42,41
47025,5149,Grade 3,42,32
88122,5150,Grade 3,98,88
759451,5152,Grade 5,51,47
326599,5153,Grade 5,105,97
388800,5155,Grade 5,79,65
565811,5159,Grade 3,93,85
501872,5160,Grade 1,73,46
583940,5161,Grade 2,79,67
401280,5163,Grade 5,44,24
425124,5164,Grade 2,99,91
9342,5167,Grade 4,91,64
592421,5173,Grade 2,97,79
401898,5177,Grade 2,90,73
864156,5178,Grade 4,43,30
286984,5181,Grade 4,90,59
259688,5183,Grade 1,103,81
359640,5187,Grade 1,78,56
583940,5189,Grade 4,48,39
175100,5194,Grade 1,93,64
592421,5195,Grade 4,102,48
201569,5198,Grade 1,102,58
963352,5199,Grade 3,108,75
25434,5201,Grade 1,76,52
419336,5202,Grade 1,103,65
264915,5204,Grade 3,106,100
165300,5205,Grade 2,100,87
65520,5206,Grade 1,69,68
304425,5207,Grade 3,80,64
491645,5208,Grade 5,97,88
155343,5211,Grade 2,94,87
56406,5212,Grade 1,44,42
425124,5214,Grade 1,96,91
165300,5217,Grade 3,46,13
359640,5219,Grade 4,83,66
25263,5220,Grade 1,92,89
168804,5222,Grade 1,83,47
223545,5223,Grade 2,85,71
156096,5224,Grade 1,19,16
39078,5228,Grade 4,26,22
501872,5231,Grade 5,90,85
196896,5234,Grade 2,35,30
489918,5237,Grade 4,44,40
8084,5238,Grade 5,92,59
601798,5240,Grade 2,87,58
65520,5244,Grade 3,87,87
173720,5248,Grade 4,100,72
958934,5249,Grade 4,90,71
166905,5251,Grade 4,74,30
136992,5252,Grade 2,101,76
46528,5256,Grade 4,58,51
25434,5258,Grade 3,86,83
56803,5259,Grade 2,84,79
7956,5260,Grade 4,69,51
56406,5261,Grade 1,46,41
8084,5263,Grade 1,107,92
447445,5264,Grade 4,86,70
759451,5268,Grade 5,51,30
592421,5269,Grade 2,86,77
489918,5271,Grade 1,102,87
230373,5273,Grade 3,30,25
175100,5274,Grade 3,104,92
75848,5278,Grade 5,98,78
592421,5279,Grade 5,45,40
8084,5280,Grade 4,96,47
425124,5281,Grade 1,96,91
264915,5282,Grade 3,106,90
39078,5284,Grade 3,41,37
304425,5289,Grade 5,75,67
36848,5292,Grade 3,45,41
196896,5294,Grade 5,91,64
304425,5295,Grade 3,80,66
423500,5296,Grade 2,102,80
32940,5298,Grade 3,31,14
47025,5300,Grade 5,97,75
226128,5302,Grade 4,86,71
155343,5303,Grade 5,41,40
388800,5305,Grade 3,85,80
858450,5306,Grade 2,102,34
20972,5307,Grade 4,48,45
201569,5308,Grade 4,44,21
55770,5313,Grade 4,83,68
25263,5315,Grade 1,42,13
30690,5323,Grade 2,61,49
118338,5324,Grade 1,88,57
156096,5327,Grade 3,94,78
401280,5328,Grade 5,93,82
293664,5329,Grade 3,37,7
401280,5330,Grade 5,93,53
239870,5333,Grade 3,98,33
314160,5335,Grade 4,86,83
155343,5337,Grade 5,41,40
17404,5339,Grade 1,103,69
42240,5341,Grade 2,107,88
858450,5342,Grade 5,42,40
30690,5345,Grade 1,77,62
864156,5347,Grade 4,43,41
447445,5348,Grade 1,67,54
223545,5349,Grade 4,40,39
583940,5350,Grade 1,96,75
501872,5352,Grade 1,74,50
565811,5353,Grade 2,94,66
581940,5354,Grade 2,107,75
501872,5355,Grade 1,74,59
326599,5356,Grade 4,90,81
592421,5357,Grade 3,104,84
206948,5360,Grade 1,101,18
156096,5363,Grade 5,88,79
20972,5364,Grade 5,95,88
858450,5366,Grade 2,102,68
49404,5367,Grade 1,93,25
864156,5368,Grade 4,98,85
30690,5369,Grade 3,75,45
20972,5370,Grade 2,103,74
286984,5376,Grade 3,59,31
822894,5377,Grade 2,92,69
401280,5384,Grade 4,36,36
42240,5386,Grade 2,107,81
56803,5387,Grade 3,97,86
16230,5389,Grade 4,74,56
323877,5390,Grade 2,104,88
489918,5392,Grade 2,97,78
28112,5394,Grade 2,78,58
239870,5395,Grade 1,82,73
20972,5396,Grade 1,103,36
401898,5398,Grade 3,39,38
8084,5399,Grade 3,105,96
7956,5400,Grade 4,36,30
73360,5401,Grade 3,96,72
609982,5402,Grade 3,80,71
65520,5405,Grade 1,54,28
909600,5406,Grade 3,50,48
283971,5408,Grade 5,46,13
10904,5410,Grade 4,96,42
165300,5412,Grade 3,99,76
314160,5414,Grade 3,50,46
108210,5415,Grade 2,93,56
356775,5416,Grade 5,64,62
46528,5421,Grade 4,58,40
419336,5426,Grade 2,98,60
297076,5430,Grade 2,80,75
646056,5433,Grade 1,99,84
17404,5438,Grade 5,100,35
20972,5439,Grade 3,103,87
118338,5440,Grade 5,88,79
363280,5441,Grade 3,96,74
759451,5442,Grade 1,29,27
858450,5443,Grade 2,102,68
14475,5449,Grade 3,87,74
14475,5451,Grade 1,80,34
156096,5452,Grade 3,94,83
581940,5453,Grade 4,102,74
259688,5456,Grade 2,97,79
42240,5457,Grade 3,47,38
363280,5459,Grade 2,96,54
326599,5460,Grade 4,90,47
239870,5464,Grade 2,109,93
447445,5466,Grade 4,38,23
329344,5468,Grade 2,49,40
565811,5469,Grade 5,89,83
49698,5471,Grade 1,99,28
563568,5472,Grade 4,37,36
304425,5480,Grade 1,90,84
575416,5481,Grade 3,100,69
447445,5488,Grade 5,39,39
34675,5489,Grade 3,100,61
28112,5490,Grade 5,25,20
53103,5498,Grade 2,102,80
35175,5499,Grade 2,97,79
206948,5500,Grade 2,102,83
489918,5502,Grade 2,97,89
909600,5504,Grade 3,108,41
118338,5505,Grade 2,101,53
30690,5506,Grade 4,85,48
419336,5507,Grade 5,98,74
592421,5509,Grade 5,101,68
230373,5510,Grade 5,42,41
323877,5513,Grade 1,98,86
581940,5515,Grade 3,51,32
25263,5516,Grade 4,68,41
34092,5518,Grade 5,41,39
47025,5521,Grade 4,47,37
56803,5523,Grade 1,100,85
28112,5528,Grade 2,78,62
858450,5530,Grade 3,85,66
32940,5531,Grade 5,81,34
108210,5534,Grade 5,83,72
16230,5536,Grade 4,74,62
166905,5537,Grade 1,101,59
858450,5538,Grade 1,73,16
206948,5539,Grade 3,96,72
56803,5542,Grade 3,97,91
403506,5545,Grade 1,95,53
581940,5547,Grade 1,98,76
108210,5549,Grade 1,85,23
491645,5551,Grade 1,106,94
17404,5552,Grade 5,92,71
226128,5555,Grade 5,39,34
324884,5557,Grade 5,38,22
136992,5558,Grade 4,100,76
425124,5559,Grade 5,91,73
226128,5560,Grade 1,95,91
759451,5566,Grade 4,32,30
56803,5571,Grade 3,80,75
108210,5572,Grade 1,89,87
201569,5573,Grade 4,102,80
165300,5577,Grade 2,100,56
239870,5578,Grade 2,109,87
401898,5582,Grade 3,86,82
201569,5583,Grade 1,102,101
563568,5586,Grade 1,95,71
223941,5588,Grade 4,63,46
324884,5589,Grade 5,90,67
792,5590,Grade 4,92,82
583940,5591,Grade 4,104,85
47025,5595,Grade 5,97,75
324884,5597,Grade 3,77,26
83388,5598,Grade 5,95,52
592421,5600,Grade 1,85,73
112034,5601,Grade 3,101,81
581940,5602,Grade 3,105,91
20972,5603,Grade 2,103,95
165300,5604,Grade 4,93,84
363825,5605,Grade 1,83,51
75848,5606,Grade 1,83,55
403506,5608,Grade 1,84,66
168804,5609,Grade 1,83,35
257904,5610,Grade 3,88,88
963352,5614,Grade 3,49,37
28860,5616,Grade 3,99,63
47025,5617,Grade 2,101,93
401280,5621,Grade 1,94,69
822894,5625,Grade 1,90,48
42240,5631,Grade 4,76,45
16230,5633,Grade 3,105,72
49698,5634,Grade 4,35,30
324884,5635,Grade 1,83,73
297076,5639,Grade 3,79,72
403506,5640,Grade 2,70,9
56803,5641,Grade 1,100,95
32940,5643,Grade 5,81,53
10904,5645,Grade 4,96,84
14475,5646,Grade 4,83,77
822894,5648,Grade 1,90,79
858450,5649,Grade 1,64,23
49404,5651,Grade 3,100,95
909600,5652,Grade 2,108,91
25263,5654,Grade 2,100,52
609982,5655,Grade 3,106,102
257904,5656,Grade 1,90,71
32940,5657,Grade 2,61,44
257904,5658,Grade 5,88,73
264915,5660,Grade 1,102,88
34092,5661,Grade 3,37,23
592421,5663,Grade 2,97,60
34092,5664,Grade 2,42,14
239870,5665,Grade 1,92,65
108210,5666,Grade 4,93,74
226128,5670,Grade 3,84,77
363280,5671,Grade 1,89,24
297076,5677,Grade 2,80,75
56406,5679,Grade 3,46,22
36848,5680,Grade 4,100,99
359640,5681,Grade 1,65,43
304425,5684,Grade 1,90,80
314160,5687,Grade 3,107,88
592421,5688,Grade 2,97,78
416,5690,Grade 2,102,96
36848,5691,Grade 4,100,24
416,5692,Grade 2,102,82
963352,5697,Grade 1,106,82
314160,5699,Grade 5,82,47
5502,5700,Grade 3,97,27
273888,5701,Grade 4,100,87
286984,5702,Grade 3,59,47
112034,5704,Grade 4,83,71
34675,5705,Grade 3,46,44
792,5709,Grade 1,95,85
329344,5710,Grade 1,90,73
5502,5711,Grade 3,97,57
16230,5712,Grade 4,74,61
155343,5713,Grade 2,94,70
42240,5715,Grade 2,107,89
646056,5716,Grade 4,57,45
108210,5719,Grade 4,93,56
8084,5721,Grade 4,102,76
14475,5726,Grade 2,77,34
118338,5729,Grade 4,98,59
7956,5730,Grade 2,95,60
991980,5733,Grade 4,91,67
46684,5735,Grade 5,69,33
297076,5736,Grade 1,68,63
156096,5738,Grade 3,94,89
25434,5741,Grade 2,94,73
39078,5747,Grade 5,83,77
363825,5750,Grade 2,91,53
323877,5753,Grade 3,102,87
14475,5754,Grade 2,77,62
421680,5755,Grade 4,103,98
363825,5761,Grade 1,83,21
230373,5762,Grade 3,81,54
223545,5764,Grade 1,84,81
609982,5765,Grade 3,106,91
628537,5767,Grade 5,76,57
363280,5771,Grade 5,78,65
49404,5772,Grade 3,100,84
388800,5776,Grade 2,82,57
8084,5779,Grade 5,54,33
363280,5780,Grade 4,75,71
283971,5781,Grade 3,45,39
42240,5782,Grade 3,99,83
20972,5785,Grade 1,103,67
25263,5787,Grade 1,92,78
75848,5788,Grade 2,94,54
56406,5790,Grade 2,94,77
501872,5794,Grade 3,69,56
8084,5795,Grade 1,107,47
273888,5796,Grade 5,84,72
35175,5798,Grade 4,84,50
419336,5799,Grade 2,98,87
273888,5801,Grade 3,97,45
501872,5803,Grade 4,41,36
35175,5804,Grade 1,91,58
958934,5806,Grade 3,97,76
49404,5808,Grade 4,79,37
359640,5809,Grade 1,77,54
323877,5814,Grade 4,99,79
388800,5816,Grade 2,80,54
14475,5817,Grade 4,83,79
196896,5818,Grade 3,94,80
230373,5821,Grade 4,104,86
25263,5831,Grade 4,87,55
40580,5832,Grade 3,103,91
425124,5834,Grade 2,99,89
28112,5835,Grade 3,38,19
858450,5836,Grade 3,85,76
963352,5839,Grade 4,104,60
575416,5840,Grade 3,100,84
864156,5843,Grade 3,97,41
47025,5844,Grade 3,76,67
239870,5845,Grade 1,92,81
30690,5848,Grade 4,85,40
73360,5849,Grade 3,96,44
226128,5850,Grade 2,97,90
14475,5851,Grade 2,77,67
196896,5853,Grade 2,95,83
10904,5857,Grade 2,97,69
264915,5863,Grade 2,96,84
56803,5864,Grade 2,84,80
616880,5865,Grade 1,53,47
46684,5869,Grade 1,90,60
65520,5874,Grade 5,85,62
56803,5876,Grade 3,97,93
401898,5878,Grade 2,90,73
293664,5879,Grade 2,93,75
230373,5880,Grade 4,104,90
28112,5881,Grade 5,25,14
156096,5882,Grade 1,19,17
323877,5886,Grade 3,102,56
223545,5892,Grade 5,88,78
403506,5893,Grade 2,82,56
406350,5894,Grade 1,90,76
65520,5895,Grade 5,85,81
822894,5900,Grade 2,92,81
563568,5901,Grade 1,95,79
39078,5906,Grade 1,91,78
5502,5907,Grade 1,71,62
359640,5910,Grade 3,97,66
958934,5912,Grade 2,93,81
264915,5913,Grade 4,32,32
991980,5914,Grade 1,96,46
991980,5917,Grade 2,73,61
304425,5920,Grade 5,75,71
963352,5921,Grade 3,108,60
592421,5922,Grade 5,101,87
858450,5928,Grade 5,86,58
25263,5930,Grade 1,92,79
239870,5933,Grade 5,103,86
273888,5934,Grade 2,70,26
56406,5936,Grade 1,46,18
226128,5937,Grade 4,86,81
323877,5938,Grade 2,104,88
206948,5940,Grade 5,51,44
687400,5941,Grade 4,101,86
609982,5942,Grade 5,99,83
53103,5943,Grade 1,88,67
388800,5944,Grade 2,82,70
601798,5951,Grade 3,99,76
175100,5966,Grade 4,82,49
323877,5967,Grade 4,44,41
286984,5968,Grade 4,90,80
607904,5969,Grade 4,71,68
607904,5970,Grade 5,63,29
49698,5973,Grade 1,99,81
958934,5974,Grade 3,97,88
112034,5978,Grade 2,101,88
283971,5980,Grade 3,91,87
56803,5983,Grade 4,42,42
223941,5984,Grade 4,63,57
8084,5986,Grade 1,107,105
406350,5987,Grade 4,99,76
401898,5990,Grade 1,55,51
112034,5995,Grade 4,104,60
425124,5996,Grade 1,96,94
206948,5998,Grade 2,102,87
30690,6001,Grade 1,77,72
646056,6002,Grade 3,95,73
7956,6003,Grade 3,81,74
25263,6004,Grade 2,100,85
9342,6006,Grade 1,101,64
223941,6008,Grade 2,97,58
403506,6009,Grade 3,84,82
123695,6021,Grade 4,29,27
687400,6022,Grade 4,101,88
155343,6024,Grade 3,94,79
118338,6025,Grade 3,91,81
304425,6027,Grade 1,90,85
958934,6028,Grade 1,100,88
416,6030,Grade 4,99,93
8084,6034,Grade 5,92,70
175100,6037,Grade 3,104,84
401280,6040,Grade 3,89,31
108210,6043,Grade 3,96,65
609982,6044,Grade 1,97,92
25263,6045,Grade 2,100,84
421680,6048,Grade 2,99,60
73360,6050,Grade 5,36,33
388800,6051,Grade 5,79,32
40580,6052,Grade 4,99,62
423500,6054,Grade 3,100,78
264915,6056,Grade 4,70,70
28860,6057,Grade 3,99,89
108210,6058,Grade 2,93,70
858450,6060,Grade 2,102,71
359640,6061,Grade 2,88,66
326599,6062,Grade 5,105,79
16230,6063,Grade 1,103,78
646056,6064,Grade 5,85,66
168804,6065,Grade 5,33,31
581940,6066,Grade 4,102,71
39078,6067,Grade 1,89,68
223941,6068,Grade 5,95,88
230373,6069,Grade 2,101,83
592421,6070,Grade 1,73,64
49404,6072,Grade 1,93,38
687400,6073,Grade 2,102,80
8084,6074,Grade 5,91,89
10904,6075,Grade 1,75,57
28860,6076,Grade 3,85,64
329344,6078,Grade 2,49,41
326599,6079,Grade 1,103,98
112034,6080,Grade 2,101,76
581940,6081,Grade 1,98,80
30690,6085,Grade 3,75,73
166905,6086,Grade 1,101,48
858450,6087,Grade 1,73,40
108210,6088,Grade 5,43,42
173720,6096,Grade 1,91,71
47025,6097,Grade 2,101,91
155343,6098,Grade 3,94,76
35175,6099,Grade 5,31,31
25434,6102,Grade 1,88,77
304425,6109,Grade 2,91,73
687400,6110,Grade 1,99,78
10904,6113,Grade 4,38,30
406350,6115,Grade 5,102,87
491645,6116,Grade 4,96,62
118338,6117,Grade 5,88,86
759451,6123,Grade 3,20,9
609982,6124,Grade 1,97,61
628537,6126,Grade 4,26,21
581940,6129,Grade 2,107,87
592421,6130,Grade 1,85,65
47025,6132,Grade 5,97,75
25434,6133,Grade 1,100,91
196896,6136,Grade 1,94,73
118338,6140,Grade 2,101,84
65520,6144,Grade 3,87,57
25263,6145,Grade 5,78,75
406350,6146,Grade 1,78,58
759451,6148,Grade 1,38,26
53103,6150,Grade 1,88,35
416,6151,Grade 1,85,59
226128,6153,Grade 1,100,71
136992,6154,Grade 3,99,74
991980,6156,Grade 4,91,86
581940,6159,Grade 3,51,44
314160,6161,Grade 5,82,71
858450,6162,Grade 2,102,62
257904,6164,Grade 5,88,78
166905,6165,Grade 5,37,36
822894,6166,Grade 4,89,67
324884,6167,Grade 3,77,72
601798,6168,Grade 5,103,79
46528,6170,Grade 3,89,45
20972,6172,Grade 2,103,93
759451,6173,Grade 2,49,43
323877,6177,Grade 5,94,78
565811,6179,Grade 1,92,60
173720,6181,Grade 5,45,39
687400,6182,Grade 1,85,70
55770,6183,Grade 4,83,57
56803,6189,Grade 3,97,96
118338,6190,Grade 5,88,70
49404,6191,Grade 1,93,60
575416,6194,Grade 1,87,80
123695,6195,Grade 1,85,76
14475,6198,Grade 1,80,24
565811,6201,Grade 2,94,86
32940,6205,Grade 2,61,56
56406,6208,Grade 2,94,56
264915,6209,Grade 5,81,54
563568,6211,Grade 1,95,53
206948,6215,Grade 3,96,49
423500,6218,Grade 1,84,69
8084,6219,Grade 5,92,48
56803,6220,Grade 5,76,59
646056,6223,Grade 1,99,73
73360,6227,Grade 5,45,22
32940,6232,Grade 3,31,12
175100,6233,Grade 2,80,63
201569,6234,Grade 2,97,90
201569,6237,Grade 1,102,47
156096,6238,Grade 2,94,84
419336,6242,Grade 3,97,51
34092,6244,Grade 1,53,17
565811,6245,Grade 2,93,63
314160,6246,Grade 4,86,84
65520,6249,Grade 1,69,58
223941,6252,Grade 5,95,63
963352,6253,Grade 4,104,85
581940,6255,Grade 4,102,88
17404,6256,Grade 2,91,58
419336,6257,Grade 1,103,48
47025,6258,Grade 2,101,100
156096,6259,Grade 5,88,70
359640,6261,Grade 2,88,52
166905,6262,Grade 3,75,51
581940,6263,Grade 4,102,90
175100,6265,Grade 1,93,89
39078,6269,Grade 2,89,52
419336,6270,Grade 5,98,59
28860,6271,Grade 2,102,85
323877,6274,Grade 1,98,83
958934,6275,Grade 2,93,75
822894,6277,Grade 3,88,61
259688,6278,Grade 5,91,80
324884,6279,Grade 4,90,56
65520,6283,Grade 1,69,68
447445,6284,Grade 1,60,34
858450,6288,Grade 1,73,35
858450,6290,Grade 3,85,74
323877,6292,Grade 1,98,93
65520,6293,Grade 2,89,65
297076,6295,Grade 4,18,18
108210,6296,Grade 3,96,89
8084,6297,Grade 1,107,77
687400,6298,Grade 4,101,72
20972,6299,Grade 4,102,36
49404,6301,Grade 5,101,76
401280,6305,Grade 5,93,85
156096,6309,Grade 3,94,85
963352,6310,Grade 2,109,87
363825,6313,Grade 4,63,55
403506,6316,Grade 5,45,37
108210,6317,Grade 5,97,71
447445,6319,Grade 3,85,61
491645,6326,Grade 3,45,40
363825,6329,Grade 1,83,79
34675,6332,Grade 4,69,58
687400,6333,Grade 1,99,80
425124,6335,Grade 4,91,69
323877,6339,Grade 2,104,84
196896,6340,Grade 5,91,81
226128,6344,Grade 5,86,77
88122,6345,Grade 1,84,80
112034,6346,Grade 4,104,96
403506,6347,Grade 5,80,67
65520,6348,Grade 1,69,60
14475,6349,Grade 5,92,61
401898,6351,Grade 3,86,76
34092,6355,Grade 2,42,29
628537,6356,Grade 5,76,63
16230,6357,Grade 4,74,48
958934,6361,Grade 1,100,91
388800,6363,Grade 3,85,56
616880,6365,Grade 3,29,23
88122,6368,Grade 4,104,36
239870,6370,Grade 3,98,50
759451,6371,Grade 3,16,16
592421,6375,Grade 5,101,88
8084,6380,Grade 3,105,49
36848,6382,Grade 3,88,53
314160,6383,Grade 1,100,73
25263,6384,Grade 2,100,46
32940,6391,Grade 5,81,58
20972,6393,Grade 1,103,83
792,6395,Grade 3,104,89
563568,6398,Grade 5,21,21
425124,6400,Grade 5,41,34
363280,6401,Grade 1,90,17
20972,6403,Grade 4,102,48
7956,6404,Grade 5,88,76
49698,6405,Grade 2,84,63
155343,6406,Grade 2,94,72
230373,6409,Grade 4,104,89
314160,6410,Grade 1,100,73
8084,6411,Grade 2,102,45
283971,6418,Grade 4,94,82
39078,6421,Grade 2,89,49
421680,6422,Grade 5,87,48
609982,6423,Grade 3,49,47
14475,6426,Grade 5,92,65
206948,6428,Grade 5,20,18
108210,6430,Grade 1,89,72
329344,6434,Grade 1,96,49
25263,6435,Grade 5,78,60
56803,6436,Grade 5,76,65
49698,6437,Grade 4,80,74
963352,6439,Grade 2,109,82
273888,6443,Grade 4,100,58
10904,6444,Grade 2,97,83
65520,6445,Grade 3,87,69
47025,6446,Grade 5,89,74
575416,6447,Grade 1,95,73
73360,6449,Grade 3,96,50
123695,6451,Grade 3,81,45
575416,6459,Grade 4,18,14
118338,6460,Grade 1,88,70
581940,6462,Grade 4,102,77
314160,6464,Grade 4,86,82
401280,6465,Grade 5,93,92
423500,6466,Grade 4,50,41
36848,6467,Grade 4,100,66
501872,6469,Grade 1,74,58
7956,6471,Grade 2,95,76
166905,6477,Grade 4,74,71
565811,6478,Grade 1,90,28
991980,6480,Grade 5,85,82
75848,6481,Grade 2,94,67
175100,6482,Grade 4,46,40
108210,6483,Grade 5,97,74
223941,6485,Grade 3,74,68
419336,6486,Grade 4,91,72
9342,6487,Grade 3,53,51
581940,6490,Grade 3,105,92
230373,6491,Grade 4,104,90
259688,6493,Grade 5,91,72
388800,6494,Grade 2,82,53
401280,6495,Grade 1,95,67
20972,6496,Grade 2,103,98
166905,6497,Grade 4,57,34
17404,6500,Grade 4,99,68
423500,6501,Grade 1,90,61
592421,6503,Grade 4,102,79
16230,6508,Grade 3,105,81
401898,6510,Grade 4,73,68
759451,6513,Grade 4,27,27
25434,6516,Grade 5,44,43
46684,6517,Grade 2,93,70
7956,6518,Grade 4,47,19
388800,6520,Grade 5,71,66
792,6521,Grade 3,104,59
30690,6523,Grade 5,13,12
108210,6526,Grade 5,97,61
359640,6527,Grade 2,81,56
326599,6531,Grade 2,103,88
565811,6532,Grade 4,92,87
491645,6533,Grade 5,44,43
609982,6534,Grade 3,106,84
423500,6537,Grade 5,87,69
565811,6538,Grade 1,91,38
388800,6539,Grade 2,82,49
416,6540,Grade 5,37,29
264915,6544,Grade 1,86,75
8084,6547,Grade 5,96,80
39078,6548,Grade 3,91,85
759451,6554,Grade 2,40,5
388800,6558,Grade 4,83,61
8084,6562,Grade 2,102,62
9342,6572,Grade 1,101,90
563568,6573,Grade 3,91,44
425124,6577,Grade 4,91,83
20972,6579,Grade 2,103,74
156096,6580,Grade 1,19,17
425124,6581,Grade 1,96,90
49404,6582,Grade 2,93,78
25434,6583,Grade 5,44,40
406350,6584,Grade 1,90,84
416,6585,Grade 2,102,74
230373,6586,Grade 2,101,76
230373,6588,Grade 3,64,47
581940,6591,Grade 2,107,91
447445,6593,Grade 4,86,74
25263,6594,Grade 4,89,80
423500,6595,Grade 5,87,59
156096,6596,Grade 3,94,85
223941,6598,Grade 2,97,76
864156,6600,Grade 2,103,32
16230,6601,Grade 5,8,7
421680,6603,Grade 3,74,62
218688,6605,Grade 4,42,15
168804,6607,Grade 1,83,74
83388,6610,Grade 2,66,63
83388,6612,Grade 1,75,61
419336,6613,Grade 1,103,83
28112,6614,Grade 2,78,51
25263,6617,Grade 2,100,76
25263,6619,Grade 4,89,81
83388,6620,Grade 1,85,68
123695,6623,Grade 5,70,55
581940,6624,Grade 2,107,92
607904,6626,Grade 2,81,60
42240,6627,Grade 2,107,87
359640,6629,Grade 4,85,72
14475,6630,Grade 1,80,44
226128,6632,Grade 5,86,86
47025,6633,Grade 4,103,63
909600,6640,Grade 5,102,48
156096,6641,Grade 5,88,77
419336,6643,Grade 1,103,78
168804,6645,Grade 4,94,38
416,6646,Grade 4,99,86
607904,6649,Grade 2,66,57
35175,6650,Grade 4,84,67
65520,6652,Grade 1,69,29
264915,6653,Grade 5,81,69
401898,6656,Grade 4,73,60
28112,6659,Grade 2,78,74
196896,6661,Grade 5,36,31
563568,6663,Grade 1,95,52
609982,6666,Grade 2,80,58
118338,6668,Grade 5,88,77
206948,6669,Grade 5,51,40
297076,6671,Grade 5,92,64
628537,6672,Grade 1,101,84
264915,6675,Grade 4,70,55
363280,6678,Grade 2,96,43
501872,6679,Grade 2,32,24
616880,6682,Grade 1,53,39
616880,6683,Grade 4,30,23
403506,6685,Grade 4,102,101
575416,6690,Grade 5,64,58
42240,6691,Grade 4,76,69
49404,6692,Grade 5,43,41
223941,6693,Grade 4,63,38
326599,6694,Grade 2,103,85
421680,6695,Grade 1,100,84
592421,6697,Grade 4,102,85
56803,6698,Grade 2,84,77
425124,6700,Grade 2,99,75
792,6704,Grade 4,89,49
419336,6705,Grade 4,91,83
156096,6706,Grade 4,84,71
264915,6708,Grade 1,102,83
118338,6709,Grade 4,98,77
56406,6712,Grade 3,46,43
406350,6718,Grade 2,76,56
687400,6720,Grade 1,99,67
858450,6722,Grade 5,86,61
687400,6723,Grade 3,91,90
363825,6725,Grade 1,82,23
9342,6728,Grade 1,101,83
607904,6729,Grade 5,67,27
65520,6731,Grade 2,89,76
17404,6732,Grade 5,100,32
173720,6734,Grade 4,47,35
601798,6736,Grade 4,93,81
49404,6737,Grade 4,91,53
501872,6741,Grade 5,35,30
403506,6742,Grade 2,66,23
388800,6743,Grade 3,85,66
283971,6744,Grade 5,98,96
196896,6745,Grade 5,91,70
264915,6747,Grade 2,96,70
607904,6752,Grade 1,83,50
403506,6753,Grade 4,102,93
607904,6755,Grade 3,29,24
314160,6757,Grade 4,86,82
401898,6760,Grade 3,86,77
14475,6761,Grade 2,77,73
42240,6764,Grade 4,35,30
416,6768,Grade 1,85,69
239870,6770,Grade 4,100,73
491645,6771,Grade 1,106,57
118338,6773,Grade 2,101,83
16230,6777,Grade 1,87,62
49404,6779,Grade 1,93,91
34092,6781,Grade 1,53,31
273888,6783,Grade 1,99,89
628537,6785,Grade 2,86,3
226128,6788,Grade 5,39,39
581940,6789,Grade 2,107,90
118338,6793,Grade 4,98,69
304425,6795,Grade 3,80,77
447445,6796,Grade 1,66,55
30690,6797,Grade 2,61,25
40580,6800,Grade 4,42,39
16230,6801,Grade 3,105,81
55770,6803,Grade 4,83,72
34675,6806,Grade 5,46,41
489918,6808,Grade 2,97,88
601798,6809,Grade 5,101,54
9342,6811,Grade 1,100,73
53103,6813,Grade 5,90,80
34675,6814,Grade 3,100,69
